,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
5847,171803020928,1718,2018-03-02,DAL,100,CHI,108,1,0.5040603248259861,0.1728538283062645,0.17945,0.10769578058277995,0.49916851441241683,0.1801552106430155,0.19465000000000005,0.11616934909557045
5848,171803020929,1718,2018-03-02,DEN,108,MEM,102,0,0.5377521613832853,0.1994236311239193,0.2518,0.12692886543726994,0.49277543648404576,0.19987959060806745,0.23050000000000004,0.1494152912441714
5849,171803020930,1718,2018-03-02,IND,103,MIL,96,0,0.5261020881670533,0.1745939675174014,0.21369999999999997,0.11700104415274463,0.5110633066994469,0.24585125998770746,0.20525,0.12956785586400557
5850,171803020931,1718,2018-03-02,TOR,102,WAS,95,0,0.5428733674048837,0.19363997728563317,0.21680000000000005,0.11293260473588343,0.5343222803955787,0.19255381035485747,0.24345,0.1345950286527722
5851,171803020932,1718,2018-03-02,OKC,124,PHO,116,0,0.5133555926544241,0.20645520311630497,0.3057,0.11529391213206394,0.48595988538681945,0.1977077363896848,0.209,0.12660832841216155
5852,171803020933,1718,2018-03-02,NYK,105,LAC,128,1,0.5033860045146726,0.18115124153498874,0.22455000000000003,0.12508294030091638,0.5439110070257611,0.23185011709601872,0.19840000000000005,0.13101220387652548
5853,171803020934,1718,2018-03-02,MIN,108,UTA,116,1,0.5257142857142857,0.22799999999999998,0.2355,0.09877609526609821,0.5328115593016255,0.21192052980132453,0.2243,0.13160596613713155
5854,171803030935,1718,2018-03-03,MEM,100,ORL,107,1,0.4955223880597015,0.19880597014925372,0.23890000000000006,0.15076528274218678,0.5407738095238096,0.19940476190476192,0.21740000000000004,0.12855386220516452
5855,171803030936,1718,2018-03-03,DEN,126,CLE,117,0,0.5440161104718068,0.19677790563866512,0.24715,0.13006250225802954,0.5407687827606291,0.19918462434478745,0.18365000000000004,0.124396245329445
5856,171803030937,1718,2018-03-03,DET,96,MIA,105,1,0.502546689303905,0.1827956989247312,0.2316,0.11309146837962544,0.5037615740740741,0.17708333333333334,0.23450000000000004,0.12289068231841525
5857,171803030938,1718,2018-03-03,BOS,120,HOU,123,1,0.5207622298065984,0.1763367463026166,0.20644999999999997,0.1166322106149033,0.5547445255474452,0.2475669099756691,0.19935000000000003,0.10673985971332721
5858,171803030939,1718,2018-03-03,LAL,116,SAS,112,0,0.539954980303883,0.18007878446820486,0.24304999999999996,0.12433834239226972,0.5075231481481481,0.18229166666666666,0.23630000000000004,0.11377356738181481
5859,171803030940,1718,2018-03-03,OKC,100,POR,108,1,0.5166021029330382,0.20918649695628114,0.30435,0.1120900209351012,0.5237414187643021,0.19107551487414184,0.21765,0.1120228655725613
5860,171803030941,1718,2018-03-03,UTA,98,SAC,91,0,0.5388086642599279,0.21600481347773767,0.23090000000000005,0.13283543269052134,0.519175729822553,0.13050944476244994,0.20965,0.1230402117783039
5861,171803040942,1718,2018-03-04,PHO,112,ATL,113,1,0.489749430523918,0.19362186788154898,0.20885,0.12652588434464937,0.5017595307917888,0.20469208211143694,0.19595000000000004,0.13537906137184116
5862,171803040943,1718,2018-03-04,CHO,98,TOR,103,1,0.5189546237794371,0.20850086157380815,0.22115,0.10406161180893005,0.5429553264604811,0.19129438717067582,0.20975000000000002,0.11248852157943068
5863,171803040944,1718,2018-03-04,IND,98,WAS,95,0,0.5243902439024392,0.1829268292682927,0.22220000000000004,0.11667906284864264,0.5325513196480939,0.19237536656891494,0.25425000000000003,0.1363085621970921
5864,171803040945,1718,2018-03-04,NOP,126,DAL,109,0,0.5185577942735949,0.18080593849416757,0.20110000000000003,0.11732316814908937,0.5008695652173913,0.16985507246376813,0.18975000000000003,0.11156528913222831
5865,171803040946,1718,2018-03-04,PHI,110,MIL,118,1,0.5328709288299155,0.21471652593486126,0.2596,0.1325162274257444,0.5156537753222836,0.24554941682013504,0.21214999999999998,0.12931196629424818
5866,171803040947,1718,2018-03-04,BRK,120,LAC,123,1,0.5100922722029988,0.1828143021914648,0.20494999999999997,0.12390322699071184,0.5452422650321074,0.2294220665499124,0.20780000000000004,0.12853008322997
5867,171803040948,1718,2018-03-04,NYK,99,SAC,102,1,0.5025510204081632,0.18083900226757368,0.22385000000000002,0.12361050960011548,0.5188356164383562,0.1295662100456621,0.21384999999999998,0.12295540072282872
5868,171803050949,1718,2018-03-05,DET,90,CLE,112,1,0.5014140271493213,0.18721719457013575,0.23824999999999996,0.11450519330640506,0.5456395348837209,0.19999999999999998,0.18875,0.12337922494172494
5869,171803050950,1718,2018-03-05,MIL,89,IND,92,1,0.5173463177115033,0.23980523432744977,0.21375,0.12701775436359888,0.5187025131502045,0.18936294564582115,0.22475,0.12113617376775274
5870,171803050951,1718,2018-03-05,PHO,103,MIA,125,1,0.492609437180216,0.1864695849914724,0.20134999999999997,0.1269193772489223,0.5026071842410197,0.17728852838933953,0.24680000000000007,0.1225017893519793
5871,171803050952,1718,2018-03-05,BOS,105,CHI,89,0,0.5207386363636364,0.1784090909090909,0.20675,0.11445628685492436,0.4986072423398329,0.1793871866295265,0.19715000000000005,0.1154507052337653
5872,171803050953,1718,2018-03-05,MEM,98,SAS,100,1,0.4887307236061685,0.19098457888493478,0.24350000000000002,0.14674321771190638,0.5082857142857143,0.18342857142857144,0.24045,0.11087596613912405
5873,171803050954,1718,2018-03-05,ORL,80,UTA,94,1,0.5391746411483255,0.20155502392344501,0.20860000000000004,0.12857436741411232,0.5378833433553818,0.2194828622970535,0.2321,0.132449104347665
5874,171803050955,1718,2018-03-05,POR,108,LAL,103,0,0.5210586226522482,0.192942515651679,0.22294999999999998,0.11060931504837437,0.5411499436302142,0.18489289740698983,0.2415,0.12467389568211262
5875,171803060956,1718,2018-03-06,PHI,128,CHO,114,0,0.5353012781497261,0.21789409616555078,0.25584999999999997,0.1374010246856078,0.5146889400921659,0.21658986175115208,0.22164999999999999,0.10482660123777786
5876,171803060957,1718,2018-03-06,ATL,90,TOR,106,1,0.5058479532163743,0.204093567251462,0.19290000000000004,0.13745236799129015,0.5458477508650519,0.1897347174163783,0.20755000000000004,0.11318070107359979
5877,171803060958,1718,2018-03-06,MIA,113,WAS,117,1,0.5054723502304148,0.17569124423963134,0.25335,0.12002932013927067,0.5332943925233645,0.18574766355140188,0.2524,0.13262110885982686
5878,171803060959,1718,2018-03-06,HOU,122,OKC,112,0,0.5595601710445938,0.2565668906536347,0.1995,0.10593018151279752,0.5127565169162507,0.21186910704381587,0.29170000000000007,0.11054020517660217
5879,171803060960,1718,2018-03-06,DEN,107,DAL,118,1,0.5568638713383114,0.19529006318207928,0.24425000000000002,0.12757641012649065,0.5040579710144927,0.1681159420289855,0.1957,0.11329800183524036
5880,171803060961,1718,2018-03-06,NYK,87,POR,111,1,0.4988700564971752,0.17288135593220338,0.23065000000000002,0.1253223217988712,0.5151515151515151,0.20468839336763864,0.21914999999999998,0.11242322316466803
5881,171803060962,1718,2018-03-06,BRK,101,GSW,114,1,0.5155261644623347,0.17768832662449682,0.2089,0.12514898688915374,0.5931695626123427,0.2180946674655482,0.2,0.14160919540229883
5882,171803060963,1718,2018-03-06,NOP,121,LAC,116,0,0.5225823591923486,0.17693942614240168,0.19575000000000004,0.11479635382882113,0.5428571428571428,0.23090379008746356,0.20920000000000002,0.12635346595201266
5883,171803070964,1718,2018-03-07,UTA,104,IND,84,0,0.5338368580060423,0.21812688821752266,0.23165000000000002,0.13500723750139185,0.5128579777907657,0.19111630625365286,0.2242,0.12098792902041498
5884,171803070965,1718,2018-03-07,MEM,110,CHI,119,1,0.4919402985074626,0.1880597014925373,0.23575,0.1512532411408816,0.4932923420905534,0.1839016210173281,0.19655,0.11511448740459383
5885,171803070966,1718,2018-03-07,TOR,121,DET,119,0,0.5430539609644088,0.19517795637198623,0.21095000000000005,0.10926291330886828,0.4966197183098591,0.17971830985915493,0.23564999999999997,0.11319563452692344
5886,171803070967,1718,2018-03-07,HOU,110,MIL,99,0,0.5626156693399136,0.2677359654534238,0.19875,0.1110475645791631,0.5167376749847838,0.2337188070602556,0.21845000000000003,0.13030109865386777
5887,171803070968,1718,2018-03-07,NOP,114,SAC,101,0,0.5238726790450928,0.17506631299734748,0.19175000000000006,0.11214793254002225,0.5152887882219706,0.12570781426953567,0.2097,0.11911630590556312
5888,171803070969,1718,2018-03-07,CLE,113,DEN,108,0,0.5490081680280046,0.20011668611435238,0.18880000000000002,0.12344098606488424,0.5546651402404122,0.1963365769891242,0.23800000000000004,0.1256531250564987
5889,171803070970,1718,2018-03-07,ORL,107,LAL,108,1,0.5341931613677264,0.19856028794241154,0.19655,0.128190680114949,0.5413597733711047,0.18470254957507082,0.23740000000000003,0.124003068852927
5890,171803080971,1718,2018-03-08,BRK,125,CHO,111,0,0.5143595634692706,0.1820792647903504,0.21244999999999997,0.12405698381308139,0.5161849710982659,0.21907514450867052,0.21835000000000002,0.10293171583494164
5891,171803080972,1718,2018-03-08,PHI,99,MIA,108,1,0.5415913200723328,0.20916214587100665,0.24854999999999997,0.13321161083578642,0.5071592210767468,0.17583046964490265,0.25445,0.12063659704645191
5892,171803080973,1718,2018-03-08,BOS,117,MIN,109,0,0.5243832472748134,0.17842799770510614,0.21030000000000001,0.11544784528141566,0.5307068366164542,0.23928157589803012,0.2266,0.10152846488961087
5893,171803080974,1718,2018-03-08,PHO,87,OKC,115,1,0.4909348441926345,0.1830028328611898,0.20895000000000002,0.12895277935337493,0.5075167037861915,0.2071269487750557,0.2865,0.11358254249478134
5894,171803080975,1718,2018-03-08,SAS,107,GSW,110,1,0.503434459072696,0.18832283915283343,0.2371,0.10909994844221847,0.5930580490724117,0.20885697187312985,0.20305,0.14629537908388823
5895,171803090976,1718,2018-03-09,CHI,83,DET,99,1,0.4943820224719101,0.18764044943820224,0.20205000000000004,0.11969843141458533,0.5011267605633803,0.18140845070422537,0.23805,0.11703825940341879
5896,171803090977,1718,2018-03-09,ATL,87,IND,112,1,0.5073616018845701,0.2055359246171967,0.19940000000000002,0.14139448606968794,0.5114168618266979,0.19496487119437936,0.22905,0.12268518518518519
