,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred
0,131410290001,1314,2013-10-29,ORL,87,IND,97,1,1313.2317,1311.5338687116857,1583.5721,1585.2699312883144,1
1,131410290002,1314,2013-10-29,CHI,95,MIA,107,1,1519.9124,1516.6087826466335,1691.8896,1695.1932173533664,1
2,131410290003,1314,2013-10-29,LAC,103,LAL,116,1,1586.5884,1575.4142158979678,1511.02,1522.1941841020323,0
3,131410300004,1314,2013-10-30,BRK,94,CLE,98,1,1548.4365,1540.1723987684964,1369.2823,1377.5464012315038,0
4,131410300005,1314,2013-10-30,BOS,87,TOR,93,1,1484.9615,1479.7849409468076,1483.9835,1489.1600590531923,0
5,131410300006,1314,2013-10-30,MIA,110,PHI,114,1,1695.1932173533664,1685.4656988395182,1459.6904,1469.4179185138482,0
6,131410300007,1314,2013-10-30,WAS,102,DET,113,1,1462.0291,1452.7168320991132,1405.6205,1414.9327679008868,0
7,131410300008,1314,2013-10-30,MIL,83,NYK,90,1,1445.7207,1442.7881027774818,1579.2007,1582.1332972225184,1
8,131410300009,1314,2013-10-30,IND,95,NOP,90,0,1585.2699312883144,1590.891086819036,1427.6257,1422.0045444692785,0
9,131410300010,1314,2013-10-30,ORL,115,MIN,120,1,1311.5338687116857,1309.4020845254388,1471.4886,1473.6203841862468,1
10,131410300011,1314,2013-10-30,CHO,83,HOU,96,1,1352.4205,1349.5019988443275,1556.411,1559.3295011556725,1
11,131410300012,1314,2013-10-30,MEM,94,SAS,101,1,1619.2012,1614.560457060195,1660.6224,1665.263142939805,1
12,131410300013,1314,2013-10-30,ATL,109,DAL,118,1,1484.9949,1479.5091744475662,1521.8522,1527.3379255524337,1
13,131410300014,1314,2013-10-30,OKC,101,UTA,98,0,1639.3633,1644.5868494602146,1521.2413,1516.0177505397853,0
14,131410300015,1314,2013-10-30,POR,91,PHO,104,1,1429.8431,1420.1796112725658,1390.5642,1400.2276887274343,0
15,131410300016,1314,2013-10-30,DEN,88,SAC,90,1,1614.5847,1608.2376647345968,1433.7286,1440.0756352654032,0
16,131410300017,1314,2013-10-30,LAL,94,GSW,125,1,1522.1941841020323,1509.7749946570125,1562.4785,1574.8976894450198,1
17,131410310018,1314,2013-10-31,NYK,81,CHI,82,1,1582.1332972225184,1578.588903384721,1516.6087826466335,1520.1531764844308,0
18,131410310019,1314,2013-10-31,GSW,115,LAC,126,1,1574.8976894450198,1567.5748690578218,1575.4142158979678,1582.7370362851657,1
19,131411010020,1314,2013-11-01,CLE,84,CHO,90,1,1377.5464012315038,1371.7276036157614,1349.5019988443275,1355.32079646007,0
20,131411010021,1314,2013-11-01,NOP,90,ORL,110,1,1422.0045444692785,1404.857502783882,1309.4020845254388,1326.5491262108353,0
21,131411010022,1314,2013-11-01,PHI,109,WAS,102,0,1469.4179185138482,1480.5518504697598,1452.7168320991132,1441.5829001432016,0
22,131411010023,1314,2013-11-01,TOR,95,ATL,102,1,1489.1600590531923,1483.3098324197642,1479.5091744475662,1485.3594010809943,0
23,131411010024,1314,2013-11-01,MIL,105,BOS,98,0,1442.7881027774818,1455.780124575857,1479.7849409468076,1466.7929191484325,1
24,131411010025,1314,2013-11-01,MIA,100,BRK,101,1,1685.4656988395182,1680.72816804184,1540.1723987684964,1544.9099295661745,0
25,131411010026,1314,2013-11-01,DAL,105,HOU,113,1,1527.3379255524337,1522.1036792552468,1559.3295011556725,1564.5637474528596,1
26,131411010027,1314,2013-11-01,DET,108,MEM,111,1,1414.9327679008868,1413.5685597314448,1614.560457060195,1615.924665229637,1
27,131411010028,1314,2013-11-01,OKC,81,MIN,100,1,1644.5868494602146,1624.450930283746,1473.6203841862468,1493.7563033627155,0
28,131411010029,1314,2013-11-01,POR,113,DEN,98,0,1420.1796112725658,1449.5713247429976,1608.2376647345968,1578.845951264165,1
29,131411010030,1314,2013-11-01,UTA,84,PHO,87,1,1516.0177505397853,1510.0984562674441,1400.2276887274343,1406.1469829997754,0
30,131411010031,1314,2013-11-01,LAC,110,SAC,101,0,1582.7370362851657,1590.9996305834338,1440.0756352654032,1431.813040967135,0
31,131411010032,1314,2013-11-01,SAS,91,LAL,85,0,1665.263142939805,1671.4946680017915,1509.7749946570125,1503.543469595026,0
32,131411020033,1314,2013-11-02,CLE,74,IND,89,1,1371.7276036157614,1368.7808683824558,1590.891086819036,1593.8378220523416,1
33,131411020034,1314,2013-11-02,CHI,104,PHI,107,1,1520.1531764844308,1515.7380984421702,1480.5518504697598,1484.9669285120203,0
34,131411020035,1314,2013-11-02,CHO,84,NOP,105,1,1355.32079646007,1346.3243518136485,1404.857502783882,1413.8539474303034,1
35,131411020036,1314,2013-11-02,MEM,99,DAL,111,1,1615.924665229637,1604.5515935311441,1522.1036792552468,1533.4767509537396,0
36,131411020037,1314,2013-11-02,TOR,97,MIL,90,0,1483.3098324197642,1494.076586012854,1455.780124575857,1445.0133709827671,0
37,131411020038,1314,2013-11-02,HOU,104,UTA,93,0,1564.5637474528596,1577.4805808521921,1510.0984562674441,1497.1816228681116,0
38,131411020039,1314,2013-11-02,SAS,105,POR,115,1,1671.4946680017915,1656.1181018530474,1449.5713247429976,1464.9478908917417,0
39,131411020040,1314,2013-11-02,SAC,87,GSW,98,1,1431.813040967135,1428.0202698462099,1567.5748690578218,1571.367640178747,1
40,131411030041,1314,2013-11-03,BOS,77,DET,87,1,1466.7929191484325,1458.1283901538698,1413.5685597314448,1422.2330887260075,0
41,131411030042,1314,2013-11-03,WAS,93,MIA,103,1,1441.5829001432016,1439.5535387626499,1680.72816804184,1682.7575294223918,1
42,131411030043,1314,2013-11-03,BRK,86,ORL,107,1,1544.9099295661745,1520.0481373628095,1326.5491262108353,1351.4109184142003,0
43,131411030044,1314,2013-11-03,PHO,96,OKC,103,1,1406.1469829997754,1404.2968025907696,1624.450930283746,1626.3011106927518,1
